Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C18, C2, C21, C22, C23, C24, C25, C3, C33, C35, C4, C5, C6, C7, C8",0402,23,100n,C1525
"C10, C9",0603,2,2.2u,C23630
C19,0402,1,1n,C1523
C20,0402,1,1u,C52923
"C26, C28, C29, C30, C31",0603,5,10u,C19702
C27,0402,1,22n,C1532
C34,0402,1,10n,C15195
D1,0603,1,Blue,C72041
D2,0603,1,Green,C72043
D3,0603,1,Yellow,C72038
D4,0603,1,Red,C2286
"FB1, FB2",0603,2,FerriteBead,C1002
J1,WR-WST REDFIT IDC 6 DBG,1,DBG,
J2,microSD_HC_Molex_47219-2001,1,Micro SD,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C963413
J5,WR-WST REDFIT IDC 6 10 DBG,1,TGT,
J6,PinHeader_2x05_P1.27mm_Vertical_SMD,1,BMDU,C2972785
J7,RJ45_Hanrun_HR911105A,1,HR911105A,C12074
"Q1, Q2",SOT-563,2,DMG1024UV-7,C2759893
"R1, R14, R15, R16, R17, R18, R19, R2, R21, R32, R37, R7",0402,12,10k,C25744
"R10, R11, R12, R13, R29, R30, R8, R9",0402,8,33,C25105
R20,0402,1,1.5k,C25867
R22,0402,1,12k,C25752
"R23, R24, R25, R26",0402,4,49.9,C25120
"R27, R28, R3, R4, R5, R6",0402,6,330,C25104
"R31, R33, R34, R36",0402,4,5.1k,C25905
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,C318884
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F407VETx,C28730
"U2, U3, U4, U5",VSSOP-8_2.3x2mm_P0.5mm,4,74LVC2T45DC,C730237
U6,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,C621425
U7,SOT-23-6,1,USBLC6-2SC6,C7519
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U9,VSSOP-8_2.4x2.1mm_P0.5mm,1,74AVC9112,C546283
X2,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,1,SG-5032CCN,C254223
