Designator,Mid X,Mid Y,Rotation,Layer
C1,31.75,-36.25,90.0,top
C10,11.25,-46.0,90.0,top
C11,24.75,-53.25,270.0,top
C12,20.75,-53.25,270.0,top
C13,16.75,-53.25,270.0,top
C14,12.75,-53.25,270.0,top
C15,24.75,-55.75,90.0,top
C16,20.75,-55.73,90.0,top
C17,16.75,-55.75,90.0,top
C18,12.75,-55.75,90.0,top
C19,2.0,-32.0,180.0,top
C2,27.5,-49.75,180.0,top
C20,2.0,-30.75,180.0,top
C21,6.25,-35.25,270.0,top
C22,10.5,-27.0,0.0,top
C23,2.02,-29.5,180.0,top
C24,11.02,-28.25,0.0,top
C25,2.02,-28.25,180.0,top
C26,1.5,-24.75,270.0,top
C27,11.5,-25.75,180.0,top
C28,22.75,-11.545682,180.0,top
C29,22.75,-9.795682,180.0,top
C3,13.25,-47.75,180.0,top
C30,30.25,-13.5,0.0,top
C31,30.25,-15.26,0.0,top
C33,6.75,-44.75,90.0,top
C34,8.0,-44.75,90.0,top
C35,32.25,-49.5,90.0,top
C4,31.75,-41.75,270.0,top
C5,27.0,-30.0,0.0,top
C6,13.73,-32.0,180.0,top
C7,31.75,-44.0,270.0,top
C8,31.25,-31.5,90.0,top
C9,13.75,-30.25,0.0,top
D1,7.4625,-37.5,0.0,top
D2,7.4625,-39.25,0.0,top
D3,7.4725,-41.0,0.0,top
D4,7.4725,-42.75,0.0,top
FB1,13.5,-24.75,270.0,top
FB2,29.75,-31.0,270.0,top
J1,21.75,-27.75,0.0,bottom
J2,18.545,-46.25,0.0,bottom
J4,26.25,-4.0,180.0,top
J5,16.75,-63.25,180.0,top
J6,5.0,-53.0,90.0,top
J7,13.975,-17.61,180.0,top
Q1,26.75,-53.75,180.0,top
Q2,29.5,-53.75,0.0,top
R1,31.75,-38.25,90.0,top
R10,14.75,-58.5,90.0,top
R11,21.0,-58.5,90.0,top
R12,17.25,-58.5,90.0,top
R13,12.25,-58.5,90.0,top
R14,30.24,-51.0,0.0,top
R15,13.5,-58.5,90.0,top
R16,4.25,-35.25,270.0,top
R17,2.0,-33.25,180.0,top
R18,8.75,-35.25,270.0,top
R19,11.0,-32.25,0.0,top
R2,28.0,-24.55,180.0,top
R20,10.0,-35.25,270.0,top
R21,7.5,-35.25,90.0,top
R22,2.5,-27.0,0.0,top
R23,7.5,-25.75,180.0,top
R24,9.5,-25.75,0.0,top
R25,3.5,-25.75,180.0,top
R26,5.5,-25.75,0.0,top
R27,18.75,-6.01,90.0,top
R28,18.75,-3.76,270.0,top
R29,27.5,-15.0,180.0,top
R3,10.25,-37.48,0.0,top
R30,24.49,-15.0,0.0,top
R31,29.13,-9.75,180.0,top
R32,29.5,-11.5,90.0,top
R33,20.0,-3.76,270.0,top
R34,20.0,-6.01,90.0,top
R36,32.25,-51.5,270.0,top
R37,31.75,-47.25,180.0,top
R4,10.25,-38.5,0.0,top
R5,10.25,-39.5,0.0,top
R6,10.25,-40.5,0.0,top
R7,12.75,-51.0,270.0,top
R8,22.25,-58.5,90.0,top
R9,19.75,-58.5,90.0,top
SW1,29.25,-20.0,90.0,top
U1,21.825,-40.0,90.0,top
U2,22.75,-54.5,180.0,top
U3,14.75,-54.5,180.0,top
U4,18.75,-54.5,180.0,top
U5,10.75,-54.5,180.0,top
U6,6.5,-30.75,270.0,top
U7,26.0,-12.25,180.0,top
U8,22.0,-20.25,270.0,top
U9,2.75,-38.25,90.0,top
X2,2.75,-42.77,90.0,top
